Row_number,"meta{qafiya:..., bahr:...}",meta
1,"meta{qafiya:ـب, bahr:مستطيل}","meta{qafiya:ب, bahr:مستطيل}"
2,"meta{qafiya:ـب, bahr:مستطيل}","meta{qafiya:ب, bahr:مستطيل}"
3,"meta{qafiya:ـل, bahr:منكوس}","meta{qafiya:ل, bahr:منكوس}"
4,"meta{qafiya:ـل, bahr:منكوس}","meta{qafiya:ل, bahr:منكوس}"
5,"meta{qafiya:ـل, bahr:منكوس}","meta{qafiya:ل, bahr:منكوس}"
6,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
7,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
8,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
9,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
10,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
11,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
12,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
13,"meta{qafiya:ـني, bahr:متوسط}","meta{qafiya:ي, bahr:متوسط}"
14,"meta{qafiya:ـني, bahr:متوسط}","meta{qafiya:ي, bahr:متوسط}"
15,"meta{qafiya:ـني, bahr:متوسط}","meta{qafiya:ي, bahr:متوسط}"
16,"meta{qafiya:ـني, bahr:متوسط}","meta{qafiya:ي, bahr:متوسط}"
17,"meta{qafiya:ـت, bahr:متوسط}","meta{qafiya:ت, bahr:متوسط}"
18,"meta{qafiya:ـت, bahr:متوسط}","meta{qafiya:ت, bahr:متوسط}"
19,"meta{qafiya:ـت, bahr:متوسط}","meta{qafiya:ت, bahr:متوسط}"
20,"meta{qafiya:ـت, bahr:متوسط}","meta{qafiya:ت, bahr:متوسط}"
21,"meta{qafiya:ـهب, bahr:متوسط}","meta{qafiya:ب, bahr:متوسط}"
22,"meta{qafiya:ـهب, bahr:متوسط}","meta{qafiya:ب, bahr:متوسط}"
23,"meta{qafiya:ـهب, bahr:متوسط}","meta{qafiya:ب, bahr:متوسط}"
24,"meta{qafiya:ـب, bahr:مستطيل}","meta{qafiya:ب, bahr:مستطيل}"
25,"meta{qafiya:ـب, bahr:مستطيل}","meta{qafiya:ب, bahr:مستطيل}"
26,"meta{qafiya:ـب, bahr:مستطيل}","meta{qafiya:ب, bahr:مستطيل}"
27,"meta{qafiya:ـقها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
28,"meta{qafiya:ـقها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
29,"meta{qafiya:ـقها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
30,"meta{qafiya:ـقها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
31,"meta{qafiya:ـقها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
32,"meta{qafiya:ـقها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
33,"meta{qafiya:ـقها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
34,"meta{qafiya:ـه, bahr:متوسط}","meta{qafiya:ه, bahr:متوسط}"
35,"meta{qafiya:ـه, bahr:متوسط}","meta{qafiya:ه, bahr:متوسط}"
36,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
37,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
38,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
39,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
40,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
41,"meta{qafiya:ـل, bahr:بسيط}","meta{qafiya:ل, bahr:بسيط}"
42,"meta{qafiya:ـل, bahr:بسيط}","meta{qafiya:ل, bahr:بسيط}"
43,"meta{qafiya:ـل, bahr:بسيط}","meta{qafiya:ل, bahr:بسيط}"
44,"meta{qafiya:ـس, bahr:مسحوب}","meta{qafiya:س, bahr:مسحوب}"
45,"meta{qafiya:ـس, bahr:مسحوب}","meta{qafiya:س, bahr:مسحوب}"
46,"meta{qafiya:ـس, bahr:مسحوب}","meta{qafiya:س, bahr:مسحوب}"
47,"meta{qafiya:ـس, bahr:مسحوب}","meta{qafiya:س, bahr:مسحوب}"
48,"meta{qafiya:ـمح, bahr:مسحوب}","meta{qafiya:ح, bahr:مسحوب}"
49,"meta{qafiya:ـمح, bahr:مسحوب}","meta{qafiya:ح, bahr:مسحوب}"
50,"meta{qafiya:ـمح, bahr:مسحوب}","meta{qafiya:ح, bahr:مسحوب}"
51,"meta{qafiya:ـبها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
52,"meta{qafiya:ـبها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
53,"meta{qafiya:ـبها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
54,"meta{qafiya:ـبها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
55,"meta{qafiya:ـبها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
56,"meta{qafiya:ـبها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
57,"meta{qafiya:ـبها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
58,"meta{qafiya:ـاتها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
59,"meta{qafiya:ـاتها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
60,"meta{qafiya:ـاتها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
61,"meta{qafiya:ـاتها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
62,"meta{qafiya:ـاتها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
63,"meta{qafiya:ـاتها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
64,"meta{qafiya:ـلها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
65,"meta{qafiya:ـلها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
66,"meta{qafiya:ـلها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
67,"meta{qafiya:ـلها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
68,"meta{qafiya:ـلها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
69,"meta{qafiya:ـلها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
70,"meta{qafiya:ـلها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
71,"meta{qafiya:ـوسه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
72,"meta{qafiya:ـوسه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
73,"meta{qafiya:ـوسه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
74,"meta{qafiya:ـوسه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
75,"meta{qafiya:ـوسه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
76,"meta{qafiya:ـوسه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
77,"meta{qafiya:ـوسه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
78,"meta{qafiya:ـوسه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
79,"meta{qafiya:ـل, bahr:مسحوب}","meta{qafiya:ل, bahr:مسحوب}"
80,"meta{qafiya:ـل, bahr:مسحوب}","meta{qafiya:ل, bahr:مسحوب}"
81,"meta{qafiya:ـل, bahr:مسحوب}","meta{qafiya:ل, bahr:مسحوب}"
82,"meta{qafiya:ـل, bahr:مسحوب}","meta{qafiya:ل, bahr:مسحوب}"
83,"meta{qafiya:ـل, bahr:مسحوب}","meta{qafiya:ل, bahr:مسحوب}"
84,"meta{qafiya:ـل, bahr:مسحوب}","meta{qafiya:ل, bahr:مسحوب}"
85,"meta{qafiya:ـايم, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
86,"meta{qafiya:ـايم, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
87,"meta{qafiya:ـايم, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
88,"meta{qafiya:ـيه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
89,"meta{qafiya:ـيه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
90,"meta{qafiya:ـيه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
91,"meta{qafiya:ـيه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
92,"meta{qafiya:ـيه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
93,"meta{qafiya:ـيه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
94,"meta{qafiya:ـيه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
95,"meta{qafiya:ـيه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
96,"meta{qafiya:ـيه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
97,"meta{qafiya:ـاني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
98,"meta{qafiya:ـاني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
99,"meta{qafiya:ـاني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
100,"meta{qafiya:ـاني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
101,"meta{qafiya:ـاني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
102,"meta{qafiya:ـاني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
103,"meta{qafiya:ـاني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
104,"meta{qafiya:ـنا, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
105,"meta{qafiya:ـنا, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
106,"meta{qafiya:ـنا, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
107,"meta{qafiya:ـنا, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
108,"meta{qafiya:ـطا, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
109,"meta{qafiya:ـطا, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
110,"meta{qafiya:ـطا, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
111,"meta{qafiya:ـطا, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
112,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
113,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
114,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
115,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
116,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
117,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
118,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
119,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
120,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
121,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
122,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
123,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
124,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
125,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
126,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
127,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
128,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
129,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
130,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
131,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
132,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
133,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
134,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
135,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
136,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
137,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
138,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
139,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
140,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
141,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
142,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
143,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
144,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
145,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
146,"meta{qafiya:ـانه, bahr:صخري}","meta{qafiya:ه, bahr:صخري}"
147,"meta{qafiya:ـيره, bahr:هجيني}","meta{qafiya:ه, bahr:هجيني}"
148,"meta{qafiya:ـيره, bahr:هجيني}","meta{qafiya:ه, bahr:هجيني}"
149,"meta{qafiya:ـيره, bahr:هجيني}","meta{qafiya:ه, bahr:هجيني}"
150,"meta{qafiya:ـيره, bahr:هجيني}","meta{qafiya:ه, bahr:هجيني}"
151,"meta{qafiya:ـيره, bahr:هجيني}","meta{qafiya:ه, bahr:هجيني}"
152,"meta{qafiya:ـيره, bahr:هجيني}","meta{qafiya:ه, bahr:هجيني}"
153,"meta{qafiya:ـيره, bahr:هجيني}","meta{qafiya:ه, bahr:هجيني}"
154,"meta{qafiya:ـيره, bahr:هجيني}","meta{qafiya:ه, bahr:هجيني}"
155,"meta{qafiya:ـحى, bahr:مسحوب}","meta{qafiya:ى, bahr:مسحوب}"
156,"meta{qafiya:ـحى, bahr:مسحوب}","meta{qafiya:ى, bahr:مسحوب}"
157,"meta{qafiya:ـحى, bahr:مسحوب}","meta{qafiya:ى, bahr:مسحوب}"
158,"meta{qafiya:ـتك, bahr:رمل}","meta{qafiya:ك, bahr:رمل}"
159,"meta{qafiya:ـتك, bahr:رمل}","meta{qafiya:ك, bahr:رمل}"
160,"meta{qafiya:ـتك, bahr:رمل}","meta{qafiya:ك, bahr:رمل}"
161,"meta{qafiya:ـتك, bahr:رمل}","meta{qafiya:ك, bahr:رمل}"
162,"meta{qafiya:ـدب, bahr:مسحوب}","meta{qafiya:ب, bahr:مسحوب}"
163,"meta{qafiya:ـدب, bahr:مسحوب}","meta{qafiya:ب, bahr:مسحوب}"
164,"meta{qafiya:ـدب, bahr:مسحوب}","meta{qafiya:ب, bahr:مسحوب}"
165,"meta{qafiya:ـور, bahr:رجز}","meta{qafiya:ر, bahr:رجز}"
166,"meta{qafiya:ـور, bahr:رجز}","meta{qafiya:ر, bahr:رجز}"
167,"meta{qafiya:ـور, bahr:رجز}","meta{qafiya:ر, bahr:رجز}"
168,"meta{qafiya:ـور, bahr:رجز}","meta{qafiya:ر, bahr:رجز}"
169,"meta{qafiya:ـوم, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
170,"meta{qafiya:ـوم, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
171,"meta{qafiya:ـوم, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
172,"meta{qafiya:ـوم, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
173,"meta{qafiya:ـوم, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
174,"meta{qafiya:ـون, bahr:مسحوب}","meta{qafiya:ن, bahr:مسحوب}"
175,"meta{qafiya:ـون, bahr:مسحوب}","meta{qafiya:ن, bahr:مسحوب}"
176,"meta{qafiya:ـون, bahr:مسحوب}","meta{qafiya:ن, bahr:مسحوب}"
177,"meta{qafiya:ـون, bahr:مسحوب}","meta{qafiya:ن, bahr:مسحوب}"
178,"meta{qafiya:ـون, bahr:مسحوب}","meta{qafiya:ن, bahr:مسحوب}"
179,"meta{qafiya:ـامي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
180,"meta{qafiya:ـامي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
181,"meta{qafiya:ـامي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
182,"meta{qafiya:ـيد, bahr:مسحوب}","meta{qafiya:د, bahr:مسحوب}"
183,"meta{qafiya:ـيد, bahr:مسحوب}","meta{qafiya:د, bahr:مسحوب}"
184,"meta{qafiya:ـيد, bahr:مسحوب}","meta{qafiya:د, bahr:مسحوب}"
185,"meta{qafiya:ـيد, bahr:مسحوب}","meta{qafiya:د, bahr:مسحوب}"
186,"meta{qafiya:ـيك, bahr:مسحوب}","meta{qafiya:ك, bahr:مسحوب}"
187,"meta{qafiya:ـيك, bahr:مسحوب}","meta{qafiya:ك, bahr:مسحوب}"
188,"meta{qafiya:ـيك, bahr:مسحوب}","meta{qafiya:ك, bahr:مسحوب}"
189,"meta{qafiya:ـيك, bahr:مسحوب}","meta{qafiya:ك, bahr:مسحوب}"
190,"meta{qafiya:ـيا, bahr:رجز}","meta{qafiya:ا, bahr:رجز}"
191,"meta{qafiya:ـيا, bahr:رجز}","meta{qafiya:ا, bahr:رجز}"
192,"meta{qafiya:ـيا, bahr:رجز}","meta{qafiya:ا, bahr:رجز}"
193,"meta{qafiya:ـيا, bahr:رجز}","meta{qafiya:ا, bahr:رجز}"
194,"meta{qafiya:ـير, bahr:بسيط}","meta{qafiya:ر, bahr:بسيط}"
195,"meta{qafiya:ـير, bahr:بسيط}","meta{qafiya:ر, bahr:بسيط}"
196,"meta{qafiya:ـين, bahr:مسحوب}","meta{qafiya:ن, bahr:مسحوب}"
197,"meta{qafiya:ـين, bahr:مسحوب}","meta{qafiya:ن, bahr:مسحوب}"
198,"meta{qafiya:ـين, bahr:مسحوب}","meta{qafiya:ن, bahr:مسحوب}"
199,"meta{qafiya:ـين, bahr:مسحوب}","meta{qafiya:ن, bahr:مسحوب}"
200,"meta{qafiya:ـين, bahr:مسحوب}","meta{qafiya:ن, bahr:مسحوب}"
201,"meta{qafiya:ـين, bahr:مسحوب}","meta{qafiya:ن, bahr:مسحوب}"
202,"meta{qafiya:ـين, bahr:مسحوب}","meta{qafiya:ن, bahr:مسحوب}"
203,"meta{qafiya:ـين, bahr:مسحوب}","meta{qafiya:ن, bahr:مسحوب}"
204,"meta{qafiya:ـها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
205,"meta{qafiya:ـها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
206,"meta{qafiya:ـها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
207,"meta{qafiya:ـها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
208,"meta{qafiya:ـها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
209,"meta{qafiya:ـها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
210,"meta{qafiya:ـها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
211,"meta{qafiya:ـها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
212,"meta{qafiya:ـها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
213,"meta{qafiya:ـها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
214,"meta{qafiya:ـها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
215,"meta{qafiya:ـفا, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
216,"meta{qafiya:ـفا, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
217,"meta{qafiya:ـفا, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
218,"meta{qafiya:ـفا, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
219,"meta{qafiya:ـال, bahr:رجز}","meta{qafiya:ل, bahr:رجز}"
220,"meta{qafiya:ـال, bahr:رجز}","meta{qafiya:ل, bahr:رجز}"
221,"meta{qafiya:ـام, bahr:صخري}","meta{qafiya:م, bahr:صخري}"
222,"meta{qafiya:ـام, bahr:صخري}","meta{qafiya:م, bahr:صخري}"
223,"meta{qafiya:ـام, bahr:صخري}","meta{qafiya:م, bahr:صخري}"
224,"meta{qafiya:ـنه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
225,"meta{qafiya:ـنه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
226,"meta{qafiya:ـنه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
227,"meta{qafiya:ـنه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
228,"meta{qafiya:ـيمه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
229,"meta{qafiya:ـيمه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
230,"meta{qafiya:ـيمه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
231,"meta{qafiya:ـيمه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
232,"meta{qafiya:ـيمه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
233,"meta{qafiya:ـيمه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
234,"meta{qafiya:ـعه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
235,"meta{qafiya:ـعه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
236,"meta{qafiya:ـعه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
237,"meta{qafiya:ـعه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
238,"meta{qafiya:ـين, bahr:رجز}","meta{qafiya:ن, bahr:رجز}"
239,"meta{qafiya:ـين, bahr:رجز}","meta{qafiya:ن, bahr:رجز}"
240,"meta{qafiya:ـين, bahr:رجز}","meta{qafiya:ن, bahr:رجز}"
241,"meta{qafiya:ـين, bahr:رجز}","meta{qafiya:ن, bahr:رجز}"
242,"meta{qafiya:ـاه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
243,"meta{qafiya:ـاه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
244,"meta{qafiya:ـاه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
245,"meta{qafiya:ـيفي, bahr:بسيط}","meta{qafiya:ي, bahr:بسيط}"
246,"meta{qafiya:ـيفي, bahr:بسيط}","meta{qafiya:ي, bahr:بسيط}"
247,"meta{qafiya:ـيفي, bahr:بسيط}","meta{qafiya:ي, bahr:بسيط}"
248,"meta{qafiya:ـيني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
249,"meta{qafiya:ـيني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
250,"meta{qafiya:ـيني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
251,"meta{qafiya:ـهه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
252,"meta{qafiya:ـهه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
253,"meta{qafiya:ـهه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
254,"meta{qafiya:ـول, bahr:مسحوب}","meta{qafiya:ل, bahr:مسحوب}"
255,"meta{qafiya:ـول, bahr:مسحوب}","meta{qafiya:ل, bahr:مسحوب}"
256,"meta{qafiya:ـول, bahr:مسحوب}","meta{qafiya:ل, bahr:مسحوب}"
257,"meta{qafiya:ـاقي, bahr:بسيط}","meta{qafiya:ي, bahr:بسيط}"
258,"meta{qafiya:ـاقي, bahr:بسيط}","meta{qafiya:ي, bahr:بسيط}"
259,"meta{qafiya:ـاقي, bahr:بسيط}","meta{qafiya:ي, bahr:بسيط}"
